municipio,departamento,lat,lon
Chinavita,Boyaca,5.1669444444444,-73.368888888889
Chinchina,Caldas,4.9805555555556,-75.6075
Chinu,Cordoba,9.1097222222222,-75.398055555556
Chipaque,Cundinamarca,4.4425,-74.044166666667
Chipata,Santander,6.0613888888889,-73.637777777778
Chiquinquira,Boyaca,5.6175,-73.816388888889
Chiquiza,Boyaca,5.61,-73.488888888889
Chiriguana,Cesar,9.3616666666667,-73.601944444444
Chiscas,Boyaca,6.5530555555556,-72.499444444444
Chita,Boyaca,6.1877777777778,-72.4725
Chitaga,Norte De Santander,7.1377777777778,-72.664444444444
Chitaraque,Boyaca,6.0283333333333,-73.446944444444
Chivata,Boyaca,5.5586111111111,-73.282222222222
Chivolo,Magdalena,10.026388888889,-74.621388888889
Chivor,Boyaca,4.8877777777778,-73.368333333333
Choachi,Cundinamarca,4.5333333333333,-73.933333333333
Choconta,Cundinamarca,5.1466666666667,-73.6825
Cicuco,Bolivar,9.2783333333333,-74.644722222222
Cienaga,Magdalena,11.006666666667,-74.246666666667
Cienaga de Oro,Cordoba,8.875,-75.621111111111
Cienega,Boyaca,5.4088888888889,-73.296111111111
Cimitarra,Santander,6.3133333333333,-73.95
Circasia,Quindio,4.6191666666667,-75.634722222222
Cisneros,Antioquia,6.5383333333333,-75.088611111111
Clemencia,Bolivar,10.5675,-75.325833333333
Cocorna,Antioquia,6.0577777777778,-75.185277777778
Coello,Tolima,4.2883333333333,-74.897777777778
Cogua,Cundinamarca,5.0619444444444,-73.979444444444
Colombia,Huila,3.375,-74.801944444444
Colon,Nariño,1.6441666666667,-77.019444444444
Colon,Putumayo,1.1902777777778,-76.973888888889
Coloso,Sucre,9.4941666666667,-75.3525
Combita,Boyaca,5.6338888888889,-73.323055555556
Concepcion,Antioquia,6.395,-75.258333333333
Concepcion,Santander,6.771,-72.698
Concordia,Antioquia,6.0455555555556,-75.9075
Concordia,Magdalena,10.258055555556,-74.832222222222
Condoto,Choco,5.0916666666667,-76.65
Confines,Santander,6.3558333333333,-73.240833333333
Consaca,Nariño,1.2080555555556,-77.465833333333
Contadero,Nariño,0.91,-77.5506
Contratacion,Santander,6.29,-73.473333333333
Convencion,Norte De Santander,8.4680555555556,-73.336944444444
Copacabana,Antioquia,6.3486111111111,-75.510277777778
Coper,Boyaca,5.4738888888889,-74.0475
Cordoba,Bolivar,9.5866666666667,-74.827222222222
Cordoba,Nariño,0.85333333333333,-77.517777777778
Cordoba,Quindio,4.3911111111111,-75.687777777778
Corinto,Cauca,3.1738888888889,-76.259444444444
Coromoro,Santander,6.295,-73.040555555556
Corozal,Sucre,9.3169444444444,-75.293333333333
Corrales,Boyaca,5.8286111111111,-72.845
Cota,Cundinamarca,4.8094444444444,-74.1025
Cotorra (Bongo),Cordoba,9.038889,-75.793333
Covarachia,Boyaca,6.5002777777778,-72.738888888889
Coveñas,Sucre,9.4013888888889,-75.68
Coyaima,Tolima,3.7975,-75.193888888889
Cravo Norte,Arauca,6.3041666666667,-70.203888888889
Cuaspud,Nariño,0.86305555555556,-77.727222222222
Cubara,Boyaca,7.0008333333333,-72.108055555556
Cubarral,Meta,3.7927777777778,-73.8375
Cucaita,Boyaca,5.5438888888889,-73.454166666667
Cucunuba,Cundinamarca,5.25,-73.766111111111
Cucuta,Norte De Santander,7.9075,-72.504722222222
Cucutilla,Norte De Santander,7.5402777777778,-72.7725
Cuitiva,Boyaca,5.58,-72.965833333333
Cumaral,Meta,4.2694444444444,-73.486388888889
Cumaribo,Vichada,4.4461111111111,-69.795555555556
Cumbal,Nariño,0.90777777777778,-77.790833333333
Cumbitara,Nariño,1.6477777777778,-77.578333333333
Cunday,Tolima,4.0611111111111,-74.6925
Curillo,Caqueta,1.0330555555556,-75.919444444444
Curiti,Santander,6.6044444444444,-73.068055555556
Curumani,Cesar,9.1997222222222,-73.5425
Dabeiba,Antioquia,7.0013888888889,-76.261111111111
Dagua,Valle,3.6575,-76.691666666667
Dibulla,La Guajira,11.2725,-73.308888888889
Distraccion,La Guajira,10.896666666667,-72.885833333333
