municipio,departamento,lat,lon
Soplaviento,Bolivar,10.390833333333,-75.136666666667
Sopo,Cundinamarca,4.9080555555556,-73.940277777778
Sora,Boyaca,5.5663888888889,-73.450277777778
Soraca,Boyaca,5.5005555555556,-73.333333333333
Sotaquira,Boyaca,5.765,-73.248055555556
Sotara (Paispamba),Cauca,2.2530555555556,-76.614444444444
Suaita,Santander,6.1019444444444,-73.440555555556
Suan,Atlantico,10.3325,-74.879722222222
Suarez,Cauca,2.9541666666667,-76.693611111111
Suarez,Tolima,4.0475,-74.830555555556
Suaza,Huila,1.975,-75.795555555556
Subachoque,Cundinamarca,4.9280555555556,-74.173611111111
Sucre,Cauca,2.0375,-76.925
Sucre,Santander,5.9180555555556,-73.791388888889
Sucre,Sucre,8.8119444444444,-74.720833333333
Suesca,Cundinamarca,5.1016666666667,-73.798055555556
Supata,Cundinamarca,5.0611111111111,-74.236666666667
Supia,Caldas,5.4505555555556,-75.651388888889
Surata,Santander,7.3669444444444,-72.984166666667
Susa,Cundinamarca,5.4538888888889,-73.814444444444
Susacon,Boyaca,6.2294444444444,-72.691111111111
Sutamarchan,Boyaca,5.6205555555556,-73.621388888889
Sutatausa,Cundinamarca,5.2472222222222,-73.8525
Sutatenza,Boyaca,5.0211111111111,-73.451944444444
Tabio,Cundinamarca,4.9158333333333,-74.098333333333
Tado,Choco,5.2633333333333,-76.56
Talaigua Nuevo,Bolivar,9.3027777777778,-74.567777777778
Tamalameque,Cesar,8.8588888888889,-73.813888888889
Tamara,Casanare,5.8302777777778,-72.162222222222
Tame,Arauca,6.4583333333333,-71.744722222222
Tamesis,Antioquia,5.6647222222222,-75.714444444444
Taminango,Nariño,1.57,-77.280555555556
Tangua,Nariño,1.0955555555556,-77.393888888889
Taraira,Vaupes,-0.56361111111111,-69.633611111111
Tarapaca,Amazonas,-2.8788888888889,-69.743888888889
Taraza,Antioquia,7.5838888888889,-75.400277777778
Tarqui,Huila,2.1105555555556,-75.823055555556
Tarso,Antioquia,5.865,-75.8225
Tasco,Boyaca,5.9091666666667,-72.781388888889
Tauramena,Casanare,5.016667,-72.75
Tausa,Cundinamarca,5.1963888888889,-73.8875
Tello,Huila,3.0666666666667,-75.138611111111
Tena,Cundinamarca,4.6547222222222,-74.39
Tenerife,Magdalena,9.8988888888889,-74.858888888889
Tenjo,Cundinamarca,4.8697222222222,-74.143888888889
Tenza,Boyaca,5.0769444444444,-73.421111111111
Teorama,Norte De Santander,8.4352777777778,-73.286388888889
Teruel,Huila,2.7405555555556,-75.568333333333
Tesalia,Huila,2.4847222222222,-75.73
Tibacuy,Cundinamarca,4.3472222222222,-74.4525
Tibana,Boyaca,5.3172222222222,-73.396944444444
Tibasosa,Boyaca,5.7480555555556,-72.998888888889
Tibirita,Cundinamarca,5.0511111111111,-73.504166666667
Tibu,Norte De Santander,8.64,-72.738055555556
Tierralta,Cordoba,8.1727777777778,-76.059444444444
Timana,Huila,1.94988,-75.91388
Timbio,Cauca,2.3527777777778,-76.681944444444
Timbiqui,Cauca,2.7719444444444,-77.665
Tinjaca,Boyaca,5.5808333333333,-73.646111111111
Tipacoque,Boyaca,6.4202777777778,-72.691666666667
Tiquisio (Puerto Rico),Bolivar,8.5577777777778,-74.263888888889
Titiribi,Antioquia,6.0625,-75.793611111111
Toca,Boyaca,5.5647222222222,-73.184444444444
Tocaima,Cundinamarca,4.4577777777778,-74.634722222222
Tocancipa,Cundinamarca,4.9661111111111,-73.911111111111
Togui,Boyaca,5.9375,-73.513333333333
Toledo,Antioquia,7.0102777777778,-75.701666666667
Toledo,Norte De Santander,7.3102777777778,-72.483055555556
Tolu,Sucre,9.525,-75.581666666667
Tolu Viejo,Sucre,9.4519444444444,-75.439444444444
Tona,Santander,7.2019444444444,-72.966388888889
Topaga,Boyaca,5.7677777777778,-72.831666666667
Topaipi,Cundinamarca,5.3361111111111,-74.303055555556
Toribio,Cauca,2.9580555555556,-76.271388888889
Toro,Valle,4.61,-76.078333333333
Tota,Boyaca,5.5602777777778,-72.986111111111
Totoro,Cauca,2.5102777777778,-76.401944444444
Trinidad,Casanare,5.4091666666667,-71.661111111111
Trujillo,Valle,4.2113888888889,-76.320277777778
Tubara,Atlantico,10.874166666667,-74.978611111111
Tuchin,Cordoba,9.1858333333333,-75.555277777778
Tulua,Valle,4.0847222222222,-76.198611111111
Tumaco,Nariño,1.8066666666667,-78.764722222222
Tunja,Boyaca,5.5402777777778,-73.361388888889
Tunungua,Boyaca,5.7302777777778,-73.932222222222
Tuquerres,Nariño,1.0872222222222,-77.618888888889
Turbaco,Bolivar,10.331944444444,-75.414166666667
Turbana,Bolivar,10.272777777778,-75.443888888889
Turbo,Antioquia,8.0930555555556,-76.728333333333
Turmeque,Boyaca,5.3236111111111,-73.489722222222
Tuta,Boyaca,5.6897222222222,-73.2275
Tutasa,Boyaca,6.0316666666667,-72.856111111111
Ubala,Cundinamarca,4.7438888888889,-73.534722222222
Ubaque,Cundinamarca,4.4830555555556,-73.934444444444
